id,categ_id,pos_categ_ids,standard_price,barcode,is_published,product_tag_ids,is_favorite,name,lst_price,default_code,type,product_template_variant_value_ids
__export__.product_template_bf7d494f,AMERICANOS,,521.66,,True,,,FRIGORÍFICO PUERTA FRANCESA BOLERO COOLMARKET FD 436 INOX E,869.0,01951,consu,
__export__.product_template_03e3e0b4,AMERICANOS,,371.5,,True,,,AMERICANO BOLERO COOL MARKET SBS 430 BLANCO,589.0,02437,consu,
__export__.product_template_eb40e424,ASPIRADOR,,41.98,,True,,,ASPIRADOR CONGA ROCKSTAR MICRO ESSENTIAL,55.0,08380,consu,
__export__.product_template_ed6eccbe,ASPIRADOR,,27.63,,True,,,ASPIRADOR LIMPIACRISTALES,35.0,08058,consu,
__export__.product_template_4a3289c2,BASCULA,,12.61,,True,,,BASCULA DE COCINA DIGITAL COOK CONTROL,19.0,04236,consu,
__export__.product_template_a36a4fe3,BASCULA,,33.53,,True,,,SURFACE PRECISION 10600 SMART HEALTHY PRO DARK GREY,40.0,04265,consu,
__export__.product_template_35ff87b5,BATIDORAS MANO,,18.26,,True,,,BATIDORA MANO POWER retro azul 1200w,30.0,03938,consu,
__export__.product_template_8a60483b,BATIDORAS MANO,,18.26,,True,,,BATIDORA MANO POWER retro rojo 1200w,30.0,03939,consu,
__export__.product_template_f66ee376,BATIDORAS MANO,,18.26,,True,,,BATIDORA MANO POWER retro verde 1200w,30.0,03945,consu,
__export__.product_template_3e4da400,BATIDORAS MANO,,24.08,,True,,,BATIDORA MANO POWER PULSAR 2300W,39.0,03909,consu,
__export__.product_template_35b53cb0,BATIDORAS MANO,,25.67,,True,,,BATIDORA MANO KATANA 12 JAR G,45.0,03965,consu,
__export__.product_template_52b95c44,BATIDORAS MANO,,36.49,,True,,,BATIDORA MANO KATANA 1500W CHOP,55.0,03975,consu,
__export__.product_template_9e5e476e,BATIDORAS VASO,,24.87,,True,,,BATIDORA VASO POWER BLACK TITANIUM - RETRO AZUL,45.0,03883,consu,
__export__.product_template_4b1085bd,BATIDORAS VASO,,18.63,,True,,,BATIDORA VASO RETRO ROJO,35.0,03935,consu,
__export__.product_template_f9c82378,BATIDORAS VASO,,18.63,,True,,,BATIDORA VASO POWER TITANIUM 500 EASYGO,30.0,03987,consu,
__export__.product_template_fb8f0be6,BATIDORAS VASO,,49.79,,True,,,BATIDORA VASO 2500W - BOTELLA REGALO,79.0,04310,consu,
__export__.product_template_49f9dee3,CAFETERAS,,22.84,,True,,,CAFETERA ITALIANA INDUCCION 4T,35.0,01621,consu,
__export__.product_template_a3f8e66b,CAFETERAS,,11.46,,True,,,CAFETERA ITALIANA ALUMINIO 12TAZAS -,18.0,01669,consu,
__export__.product_template_9b8a2adf,CAFETERAS,,27.22,,True,,,CAFETERA 66 DROP&THERMO TIME,40.0,00274,consu,
__export__.product_template_a1c36043,CAFETERAS,,52.49,,True,,,CAFETERA EXPRESSO CUMBIA CAPRICCIOSA BLANCA,69.0,01595,consu,
__export__.product_template_5c6dc5b6,CAFETERAS,,57.54,,True,,,CAFETERA POWER EXPRESSO 20 RETRO VERDE,89.0,01723,consu,
__export__.product_template_695d1572,CAFETERAS,,53.86,,True,,,CAFETERA EXPRESSO VINTAGE BEIGE,99.0,01585,consu,
__export__.product_template_6accf2ed,CAFETERAS,,57.04,,True,,,CAFETERA EXPRESSO CAFELIZZIA 790 NEGRO,89.0,01651,consu,
__export__.product_template_f846e258,CAFETERAS,,62.93,,True,,,CAFETERA VINTAGE ROJO,90.0,01727,consu,
__export__.product_template_91f1d8a8,CAFETERAS,,65.38,,True,,,CAFETERA VINTAGE AMARILLA,99.0,01629,consu,
__export__.product_template_8351b62d,CAFETERAS,,84.43,,True,,,CAFETERA SEMIAUTOMATICA POWER-INSTANT SERIE BIANCA,129.0,01557,consu,
__export__.product_template_4110d678,CALEFACCIÓN,,40.11,,True,,,CHIMENEA ELÉCTRICA READYWARM 2000 FLAMES,55.0,08268,consu,
__export__.product_template_7da71523,DEPILADORAS/CORTAPELOS,,13.56,,True,,,DEPILADORA BAMBA SKINCARE DEPIL-ACTION,25.0,04334,consu,
__export__.product_template_dea279ac,DEPILADORAS/CORTAPELOS,,16.63,,True,,,AFEITADORA DE CABEZA,29.0,04443,consu,
__export__.product_template_07382780,DEPILADORAS/CORTAPELOS,,27.93,,True,,,MULTIGROMING 10EN1 - TWISTGROOM CORTAPELOS,45.0,04194,consu,
__export__.product_template_d4599e16,EXPRIMIDOR,,11.05,,True,,,EXPRIMIDOR ZITRA STEEL,19.0,03351,consu,
__export__.product_template_5203d260,EXPRIMIDOR,,22.89,,True,,,EXPRIMIDOR BRAZO ROJO XQUEEZE RETROJUICE 600,35.0,03899,consu,
__export__.product_template_7497b10a,EXPRIMIDOR,,16.63,,True,,,EXPRIMIDOR ESSENTIAL HYDEN 120,30.0,03892,consu,
__export__.product_template_7e3feec8,EXPRIMIDOR,,20.8,,True,,,EXPRIMIDOR TOWERADJUST EASY STEEL,35.0,03951,consu,
__export__.product_template_0d37d740,FREIDORAS,,5.22,,True,,,"150 PIEZAS DE PAPEL FREIDORA AIRE DE 5 A 6,5L",8.0,03291,consu,
__export__.product_template_3cb5f939,FREIDORAS,,3.82,,True,,,ACCESORIOS FREIDORA AIRE,8.0,03341,consu,
__export__.product_template_ad7f16d5,FREIDORAS,,51.21,,True,,,"FREIDORA AIRE - CECOFRY FANTASTIK VENTANA - 5,5L",85.0,04965,consu,
__export__.product_template_c3372b25,FREIDORAS,,59.44,,True,,,FREIDORA AIRE - CECOFRY DUOHEAT 6L,99.0,03292,consu,
__export__.product_template_1f7fc644,FRÍGORIFICOS,,110.34,,True,,,FRIGORÍFICO BOLERO 1 PUERTA 85CM NEGRO (114L),189.0,02157,consu,
__export__.product_template_8fa7bb05,FRÍGORIFICOS,,126.55,,True,,,FRIGORÍFICO BOLERO 1 PUERTA 85CM INOX,219.0,02674,consu,
__export__.product_template_ba661933,FRÍGORIFICOS,,146.27,,True,,,FRIGORÍFICO BOLERO 2P. ORIGEN 86 - GREEN E,229.0,01899,consu,
__export__.product_template_2b75822d,FUN COOKING,,16.76,,True,,,CREPERA FUN CREPELICIOUS,29.0,08022,consu,
__export__.product_template_987d574f,FUN COOKING,,24.87,,True,,,FONDUE ELECTRICA CHOCOLATE,40.0,08018,consu,
__export__.product_template_7b068518,FUN COOKING,,22.07,,True,,,GOFRERA - SANDWICHERA ROCK TOAST FAMILY,35.0,03200,consu,
__export__.product_template_d1239f72,FUN COOKING,,14.27,,True,,,PALOMITERO FUN&TASTEP´CORN,25.0,03261,consu,
__export__.product_template_4948c666,FUN COOKING,,18.91,,True,,,PALOMITERO FUN&TASTEP´CORN lotus,35.0,04861,consu,
__export__.product_template_b2ecd541,HERRAMIENTAS,,13.63,,True,,,PISTOLA SILICONA,25.0,70020,consu,
__export__.product_template_9dc5ef04,NEVERAS,,27.28,,True,,,FRIGORÍFICO BOLERO HABANA NEGRO 4L,45.0,02685,consu,
__export__.product_template_02c9acc8,NEVERAS,,27.28,,True,,,FRIGORÍFICO BOLERO HABANA NEGRO 4L,45.0,02689,consu,
__export__.product_template_a767530a,NEVERAS,,38.09,,True,,,FRIGORÍFICO BAMBA BLANCO 6L,55.0,02695,consu,
__export__.product_template_9a839544,NEVERAS,,34.1,,True,,,FRIGORÍFICO BAMBA ESPEJO 6L,55.0,04441,consu,
__export__.product_template_832ba729,LAVAVAJILLAS,,198.31,,True,,,"LAVAVAJILLAS BOLERO AGUAZERO 6200 NEGRO ""D""",339.0,02774,consu,
__export__.product_template_9a3e6922,MICROONDAS,,40.0,,True,,,"MICROONDAS 20L 3010 PROCLEAN, RETRO CREMA",65.0,01704,consu,
__export__.product_template_dfaa33e0,MICROONDAS,,43.34,,True,,,"MICROONDAS 20L GRILL, 3110, RETRO AZUL",65.0,01706,consu,
__export__.product_template_55d924f0,MICROONDAS,,43.34,,True,,,"MICROONDAS 20L GRILL, 5110, digital RETRO AZUL",75.0,01711,consu,
__export__.product_template_3f564000,MICROONDAS,,44.0,,True,,,"MICROONDAS 20L GRILL, PROCLEAN, RETRO AMARILLO",75.0,01713,consu,
__export__.product_template_bc5a9092,MICROONDAS,,0.0,,True,,,"MICROONDAS 20L GRILL, PROCLEAN, RETRO AMARILLO",75.0,01713,consu,
__export__.product_template_03195178,MICROONDAS,,53.36,,True,,,MICROONDAS 20L PROCLEAN 3120 - INOX ESPEJO SIN PLATO,85.0,A01_EU01_100518,consu,
__export__.product_template_f9953d12,MICROONDAS,,60.04,,True,,,MICROONDAS SIN PLATO GRANDHEAT 2010 FLATBED STEEL,89.0,01399,consu,
__export__.product_template_9ef8ffce,MICROONDAS,,74.17,,True,,,MICROONDAS 25L SIN PLATO GRANDHEAT 2500-NEGRO,119.0,01405,consu,
__export__.product_template_9cf8c67c,MICROONDAS,,67.43,,True,,,MICROONDAS 23L SIN PLATO GRANDHEAT 2300 - BLANCO,109.0,01359,consu,
__export__.product_template_925598b8,MICROONDAS,,56.7,,True,,,Microondas digital de 23 litros - PROCLEAN 6110,109.0,01537,consu,
__export__.product_template_6f6f5a90,MICROONDAS,,49.35,,True,,,MICROONDAS 20L PROCLEAN 3030 - NEGRO SIN PLATO,79.0,A01_EU01_100513,consu,
__export__.product_template_9b1f24d4,MICROONDAS,,50.02,,True,,,MICROONDAS 20L PROCLEAN 3120 - BLANCO SIN PLATO,79.0,A01_EU01_100516,consu,
__export__.product_template_2f51a9d4,MICROONDAS,,70.06,,True,,,MICROONDAS 20L CON GRILL - 700W - AZUL,110.0,A01_EU01_101130,consu,
__export__.product_template_bff64e43,MICROONDAS,,70.06,,True,,,MICROONDAS 20L CON GRILL - 700W - VERDE,110.0,A01_EU01_101132,consu,
__export__.product_template_bddfca60,MINIHORNO,,21.3,,True,,,HORNO SOBREMESA 10L BLANCO,39.0,03811,consu,
__export__.product_template_49a58fb9,MINIHORNO,,38.34,,True,,,HORNO SOBREMESA 23L BLANCO BAKE&TOAST,65.0,03812,consu,
__export__.product_template_ae349740,MINIHORNO,,50.0,,True,,,HORNO SOBREMESA 26L BLANCO (4PIZZA),79.0,03813,consu,
__export__.product_template_7147ca21,MINIHORNO,,52.02,,True,,,HORNO SOBREMESA 30L BLANCO,89.0,03814,consu,
__export__.product_template_9620ab12,PLANCHAS-COCINA,,27.42,,True,,,PLACA DE INDUCCIÓN PORTATIL FULL RYSTAL ONYX,49.0,03069,consu,
__export__.product_template_5d1f9c37,PLANCHAS-COCINA,,28.1,,True,,,PLANCHA DE ASAR TASTY&GRILL 3000,45.0,03088,consu,
__export__.product_template_bde0b2ae,PLANCHAS-ROPA,,19.69,,True,,,PLANCHA VERTICAL (FAST&FURIOUS) 4010 VITAL,29.0,05543,consu,
__export__.product_template_c3bad055,PLANCHAS-ROPA,,49.73,,True,,,CENTRO PLANCHADO VERTICAL,65.0,01866,consu,
__export__.product_template_b8b36c8a,PLANCHAS-ROPA,,18.8,,True,,,PLANCHA ROPA IRONHERO3200 FORCE,35.0,01872,consu,
__export__.product_template_c2f9e782,PLANCHAS-ROPA,,66.12,,True,,,CENTRO PLANCHADO-Fast&Furious 8040 Absolute,99.0,05535,consu,
__export__.product_template_f0f33137,SARTENES/OLLAS,,24.26,,True,,,SET SARTENES POLKA 18-22-26 (ROSA),39.0,03130,consu,
__export__.product_template_0d70e63b,SARTENES/OLLAS,,24.26,,True,,,SET SARTENES POLKA 18-22-26 (AMARILLO),39.0,03130,consu,
__export__.product_template_f3ad4e82,SARTENES/OLLAS,,8.45,,True,,,1 SARTEN POLKA 18 (NEGRO MANGO TURQUESA),15.0,03167,consu,
__export__.product_template_efa7dfa0,SECADORES/PELO,,30.85,,True,,,PLANCHA PELO RITUAL CARE TWERK,45.0,00664,consu,
__export__.product_template_6c1fd8ab,TERMOS,,27.52,,True,,,HERVIDOR DE AGUA ELECTRICO WOODY 200 RETRO NEGRO,45.0,00267,consu,
__export__.product_template_22457336,TERMOS,,28.89,,True,,,HERVIDOR THERMOSENSE VINTAGE - BEIGE,45.0,01485,consu,
__export__.product_template_929a06bf,TERMOS,,28.89,,True,,,HERVIDOR THERMOSENSE VINTAGE - VERDE,45.0,01483,consu,
__export__.product_template_9b4f5721,TOSTADOR,,16.27,,True,,,TOSTADOR 9000 DOBLE NEGRO,29.0,03179,consu,
__export__.product_template_4bda2ed2,TOSTADOR,,23.98,,True,,,TOSTADOR 8000 DOBLE RETRO BLUE,40.0,03105,consu,
__export__.product_template_dddbc891,VENTILADORES,,17.55,,True,,,VENTILADOR ROSA RETRO DESK 400,30.0,08210,consu,
__export__.product_template_debe72fd,VENTILADORES,,22.83,,True,,,VENTILADOR BEIGE RETRO - 800,39.0,08208,consu,
__export__.product_template_cda52ab9,PLACAS/VITRO,,67.73,,True,,,PLACA INDUCCIÓN BOLERO SQUAD - 2 FUEGOS,119.0,02450,consu,
__export__.product_template_478c9a9b,PLACAS/VITRO,,91.9,,True,,,PLACA GAS 43 FUEGOS INOX - 60CM,139.0,A01_EU01_100188,consu,
__export__.product_template_de36e06b,OTROS,,15.15,,True,,,JARRA PURIFICADORA AGUA H2ONATURE 2400,25.0,04181,consu,
__export__.product_template_d1105b98,OTROS,,16.27,,True,,,SACACORCHOS ELÉCTRICO INSTANTCORK 1000,29.0,02310,consu,
__export__.product_template_6fbeca4d,OTROS,,19.29,,True,,,HERVIDOR VAPOVITA 3000 INOX - VAPORERA,35.0,04109,consu,
__export__.product_template_ad45bd8b,OTROS,,51.55,,True,,,CORTAFIAMBRES ROCK´CUT TWIN,85.0,02307,consu,
__export__.product_template_c1de9f1d,OTROS,,3.82,,True,,,ACEITERA SPRAY POLKA,8.0,03260,consu,
__export__.product_template_6c965f6a,OTROS,,55.12,,True,,,PANIFICADORA,89.0,02229,consu,
__export__.product_template_cf9db7f3,OTROS,,16.67,,True,,,UTENSILIOS COCINA AMARILLO,25.0,01180,consu,
__export__.product_template_eb7e83e3,OTROS,,16.21,,True,,,UTENSILIOS COCINA ROSA,25.0,01181,consu,
__export__.product_template_5add60dd,OTROS,,9.98,,True,,,SET CUCHILLOS 6 SWISS NEGRO,20.0,01024,consu,
__export__.product_template_2be0e04e,OTROS,,9.98,,True,,,SET CUCHILLOS 7 TITANIUM,15.0,01012,consu,
__export__.product_template_0fe93399,OTROS,,34.97,,True,,,VAPORETA MANUAL VENTANAS,55.0,00644,consu,
